row_num,ACQUISITION_TIME,ACQUISITION_DAY,ACQUISITION_HOUR,b
271,12/14/2013 19:07,12/14/2013,2013-12-14 19,0.46
272,12/14/2013 20:08,12/14/2013,2013-12-14 20,0.42
273,12/14/2013 21:08,12/14/2013,2013-12-14 21,0.42
274,12/14/2013 22:08,12/14/2013,2013-12-14 22,0.42
275,12/14/2013 23:11,12/14/2013,2013-12-14 23,0.69
276,12/15/2013 0:02,12/15/2013,2013-12-15 00,0.55
277,12/15/2013 1:04,12/15/2013,2013-12-15 01,0.78
278,12/15/2013 2:05,12/15/2013,2013-12-15 02,0.33
279,12/15/2013 3:05,12/15/2013,2013-12-15 03,0.82
280,12/15/2013 4:01,12/15/2013,2013-12-15 04,0.6
281,12/15/2013 5:01,12/15/2013,2013-12-15 05,0.69
282,12/15/2013 6:03,12/15/2013,2013-12-15 06,0.78
283,12/15/2013 7:03,12/15/2013,2013-12-15 07,1.13
284,12/15/2013 8:03,12/15/2013,2013-12-15 08,1.35
285,12/15/2013 9:03,12/15/2013,2013-12-15 09,1.09
286,12/15/2013 10:03,12/15/2013,2013-12-15 10,0.69
287,12/15/2013 11:04,12/15/2013,2013-12-15 11,0.91
288,12/15/2013 12:03,12/15/2013,2013-12-15 12,1.05
289,12/15/2013 13:24,12/15/2013,2013-12-15 13,0.6
290,12/15/2013 14:15,12/15/2013,2013-12-15 14,0.42
291,12/15/2013 15:06,12/15/2013,2013-12-15 15,0.37
292,12/15/2013 16:06,12/15/2013,2013-12-15 16,0.28
293,12/15/2013 17:18,12/15/2013,2013-12-15 17,0
294,12/15/2013 18:00,12/15/2013,2013-12-15 18,0.19
295,12/15/2013 19:00,12/15/2013,2013-12-15 19,0
296,12/15/2013 20:01,12/15/2013,2013-12-15 20,0.09
297,12/15/2013 21:01,12/15/2013,2013-12-15 21,0
298,12/15/2013 22:03,12/15/2013,2013-12-15 22,0.83
299,12/15/2013 23:03,12/15/2013,2013-12-15 23,0.28
300,12/16/2013 0:14,12/16/2013,2013-12-16 00,0
301,12/16/2013 1:04,12/16/2013,2013-12-16 01,0.33
302,12/16/2013 2:06,12/16/2013,2013-12-16 02,0.14
303,12/16/2013 3:06,12/16/2013,2013-12-16 03,0.23
304,12/16/2013 4:07,12/16/2013,2013-12-16 04,0.14
305,12/16/2013 5:07,12/16/2013,2013-12-16 05,0.14
306,12/16/2013 6:09,12/16/2013,2013-12-16 06,0.23
307,12/16/2013 7:09,12/16/2013,2013-12-16 07,0.19
308,12/16/2013 8:00,12/16/2013,2013-12-16 08,0
309,12/16/2013 9:01,12/16/2013,2013-12-16 09,0.33
310,12/16/2013 10:12,12/16/2013,2013-12-16 10,0.47
311,12/16/2013 11:02,12/16/2013,2013-12-16 11,0.83
312,12/16/2013 12:03,12/16/2013,2013-12-16 12,1.63
313,12/16/2013 13:03,12/16/2013,2013-12-16 13,1.5
314,12/16/2013 14:05,12/16/2013,2013-12-16 14,2.47
315,12/16/2013 15:07,12/16/2013,2013-12-16 15,2.39
316,12/16/2013 16:08,12/16/2013,2013-12-16 16,2.47
317,12/16/2013 17:09,12/16/2013,2013-12-16 17,1.5
